KataID,Language,KataName,NumParticipants,Animal,Path,StartDate,secsInKata,TotalLights,RedLights,GreenLights,AmberLights,SLOC,EditedLines,CCNum,BranchCoverage,StatementCoverage,NumCycles,EndsInGreen,TransitionString
001B95D8E4,Java-1.8_JUnit,Calc_Stats,6,buffalo,/Users/michaelhilton/Development/Mycyberdojo/katas/00/1B95D8E4/buffalo/,2014-07-15 10:11:04 -0700,1592.0,16,3,6,7,48,104,31,1.000000,1.000000,2,true,+{red:0:20.0}+{red:6:182.0}+{amber:24:241.0}+{amber:2:13.0}+{amber:2:23.0}+{amber:2:76.0}+{green:4:125.0}~{amber:12:170.0}~{amber:1:21.0}~{green:6:26.0}~{amber:3:113.0}~{green:13:78.0}~{green:4:39.0}~{green:12:232.0}+{red:9:152.0}+{green:4:81.0}
001B95D8E4,Java-1.8_JUnit,Calc_Stats,6,cheetah,/Users/michaelhilton/Development/Mycyberdojo/katas/00/1B95D8E4/cheetah/,2014-07-15 10:11:04 -0700,1598.0,13,1,4,8,49,81,36,1.000000,1.000000,1,true,+{red:0:259.0}+{amber:25:670.0}+{amber:2:29.0}+{amber:1:38.0}+{amber:2:28.0}+{amber:2:31.0}+{green:3:23.0}~{amber:17:248.0}~{green:3:80.0}~{amber:12:100.0}~{green:2:11.0}~{amber:10:61.0}~{green:2:20.0}
001B95D8E4,Java-1.8_JUnit,Calc_Stats,6,deer,/Users/michaelhilton/Development/Mycyberdojo/katas/00/1B95D8E4/deer/,2014-07-15 10:11:04 -0700,2743.0,17,4,6,7,54,197,35,0.833333,0.916667,3,true,+{red:0:28.0}+{amber:11:391.0}+{amber:3:75.0}+{amber:1:100.0}+{amber:2:11.0}+{amber:10:221.0}+{amber:5:53.0}+{green:8:88.0}~{green:20:72.0}~{green:14:125.0}+{amber:15:192.0}+{red:4:34.0}+{red:2:40.0}+{green:2:34.0}~{green:34:129.0}+{red:64:1124.0}+{green:2:26.0}
001B95D8E4,Java-1.8_JUnit,Calc_Stats,6,lion,/Users/michaelhilton/Development/Mycyberdojo/katas/00/1B95D8E4/lion/,2014-07-15 10:11:04 -0700,1908.0,13,3,5,5,60,104,41,0.750000,0.916667,2,true,+{red:0:25.0}+{amber:20:723.0}+{amber:11:92.0}+{amber:2:16.0}+{green:2:34.0}~{green:31:157.0}~{green:9:188.0}+{amber:14:262.0}+{amber:2:27.0}+{red:6:30.0}+{red:2:65.0}+{green:1:69.0}~{green:4:220.0}
001B95D8E4,Java-1.8_JUnit,Calc_Stats,6,koala,/Users/michaelhilton/Development/Mycyberdojo/katas/00/1B95D8E4/koala/,2014-07-15 10:11:04 -0700,1500.0,14,3,7,4,34,62,25,1.000000,1.000000,3,true,+{red:0:176.0}+{amber:16:408.0}+{green:2:46.0}+{amber:4:52.0}+{red:4:48.0}+{green:8:94.0}~{green:4:91.0}+{red:4:124.0}+{green:4:72.0}~{green:0:96.0}~{amber:4:129.0}~{green:2:12.0}~{amber:8:130.0}~{green:2:22.0}
001B95D8E4,Java-1.8_JUnit,Calc_Stats,6,panda,/Users/michaelhilton/Development/Mycyberdojo/katas/00/1B95D8E4/panda/,2014-07-15 10:11:04 -0700,1670.0,19,4,7,8,71,143,54,0.500000,0.642857,3,true,+{red:0:46.0}+{amber:12:407.0}+{amber:5:50.0}+{amber:6:33.0}+{amber:3:50.0}+{amber:2:34.0}+{amber:2:64.0}+{green:0:29.0}~{amber:4:31.0}~{amber:4:36.0}~{green:2:43.0}+{red:24:306.0}+{green:4:35.0}+{red:26:164.0}+{green:2:23.0}~{green:16:115.0}~{green:9:125.0}~{red:11:61.0}~{green:11:18.0}
002EEFE5AF,Java-1.8_JUnit,Fizz_Buzz,1,elephant,/Users/michaelhilton/Development/Mycyberdojo/katas/00/2EEFE5AF/elephant/,2013-04-18 11:31:28 -0700,1363.0,15,3,4,8,54,93,36,1.000000,1.000000,2,true,+{red:0:16.0}+{amber:50:671.0}+{amber:4:42.0}+{amber:2:43.0}+{amber:8:89.0}+{green:2:28.0}~{amber:5:67.0}~{amber:4:16.0}~{green:2:18.0}+{amber:7:56.0}+{red:2:24.0}+{red:2:50.0}+{amber:2:161.0}+{green:2:19.0}~{green:1:63.0}
0046A8235F,Java-1.8_JUnit,Print_Diamond,1,alligator,/Users/michaelhilton/Development/Mycyberdojo/katas/00/46A8235F/alligator/,2014-04-15 16:03:09 -0700,4947.0,69,16,34,19,177,418,107,1.000000,0.000000,7,true,~{red:0:42.0}~{green:2:27.0}~{green:6:78.0}+{amber:8:147.0}+{red:7:68.0}+{green:2:41.0}~{green:7:18.0}~{green:3:17.0}+{red:10:179.0}+{amber:14:209.0}+{green:1:29.0}+{red:11:139.0}+{green:6:118.0}~{green:11:138.0}~{green:12:151.0}~{amber:4:42.0}~{green:14:25.0}~{green:15:86.0}~{green:4:80.0}~{green:11:48.0}~{amber:5:150.0}~{amber:2:30.0}~{green:1:24.0}~{green:6:96.0}~{green:5:56.0}~{green:5:24.0}~{amber:10:100.0}~{green:2:26.0}~{green:7:47.0}~{red:6:81.0}~{green:6:46.0}~{amber:5:63.0}~{red:10:19.0}~{green:6:39.0}~{green:8:22.0}~{green:2:43.0}~{green:6:91.0}~{green:13:70.0}~{green:16:199.0}+{red:1:51.0}+{amber:11:62.0}+{red:2:20.0}+{green:1:66.0}~{green:4:43.0}~{green:4:53.0}+{amber:8:83.0}+{amber:1:14.0}+{red:2:11.0}+{amber:2:39.0}+{amber:3:99.0}+{amber:5:536.0}+{green:2:20.0}~{green:13:85.0}+{amber:15:156.0}+{red:12:40.0}+{amber:10:35.0}+{red:2:23.0}+{amber:3:47.0}+{red:5:39.0}+{green:2:14.0}~{amber:6:155.0}~{amber:2:28.0}~{amber:8:73.0}~{red:2:21.0}~{red:2:42.0}~{green:2:29.0}+{red:15:85.0}+{red:2:35.0}+{green:2:35.0}
004E826323,Java-1.8_JUnit,Game_of_Life,1,koala,/Users/michaelhilton/Development/Mycyberdojo/katas/00/4E826323/koala/,2014-06-21 01:46:30 -0700,2399.0,20,5,1,14,25,59,16,,,1,false,+{red:0:26.0}+{red:0:22.0}+{red:0:253.0}+{red:0:40.0}+{amber:11:1200}+{amber:2:20.0}+{amber:4:30.0}+{amber:13:142.0}+{amber:2:22.0}+{amber:2:29.0}+{amber:2:18.0}+{amber:2:65.0}+{amber:2:32.0}+{amber:2:30.0}+{amber:4:32.0}+{amber:2:21.0}+{amber:2:15.0}+{red:2:25.0}+{green:0:39.0}~{amber:7:338.0}
0066CAC96C,Python-unittest,Recently_Used_List,3,hippo,/Users/michaelhilton/Development/Mycyberdojo/katas/00/66CAC96C/hippo/,2014-01-24 16:52:55 -0800,3093.0,34,1,8,25,15,63,3,,0.8,0,false,~{red:0:5.0}~{amber:4:132.0}~{amber:0:1.0}~{amber:0:3.0}~{amber:0:2.0}~{amber:2:18.0}~{amber:2:48.0}~{amber:0:8.0}~{amber:0:34.0}~{amber:2:23.0}~{amber:0:7.0}~{amber:2:28.0}~{amber:0:6.0}~{amber:2:19.0}~{green:2:28.0}~{amber:2:24.0}~{amber:2:53.0}~{amber:2:25.0}~{amber:2:18.0}~{amber:2:18.0}~{green:2:20.0}~{amber:1:54.0}~{amber:2:80.0}~{amber:2:143.0}~{green:2:22.0}~{amber:4:36.0}~{green:4:28.0}~{green:3:37.0}~{green:0:160.0}~{green:4:298.0}~{green:0:17.0}~{amber:8:779.0}~{amber:5:99.0}~{amber:0:820.0}
00701D669C,Java-1.8_JUnit,Prime_Factors,1,snake,/Users/michaelhilton/Development/Mycyberdojo/katas/00/701D669C/snake/,2014-05-10 17:55:37 -0700,74.0,3,2,1,0,15,2,10,1.000000,1.000000,0,true,~{red:0:18.0}~{red:0:39.0}~{green:2:17.0}
009AD0FD5B,Java-1.8_JUnit,Yatzy,1,alligator,/Users/michaelhilton/Development/Mycyberdojo/katas/00/9AD0FD5B/alligator/,2013-07-15 15:29:36 -0700,2428.0,13,1,8,4,286,80,216,,,0,false,~{green:0:7.0}~{green:0:17.0}~{green:0:251.0}~{green:2:40.0}~{green:6:10.0}~{red:12:163.0}~{green:24:302.0}~{green:16:24.0}~{green:11:11.0}~{amber:9:42.0}~{amber:0:1200}~{amber:0:86.0}~{amber:0:275.0}
00AE83D7EA,Python-unittest,Leap_Years,1,hippo,/Users/michaelhilton/Development/Mycyberdojo/katas/00/AE83D7EA/hippo/,2014-01-09 12:57:58 -0800,3482.0,32,5,5,22,29,107,8,,1.0,0,true,~{red:0:32.0}~{amber:15:262.0}~{amber:2:15.0}~{amber:0:55.0}~{amber:2:33.0}~{amber:2:21.0}~{amber:5:54.0}~{amber:4:170.0}~{amber:2:48.0}~{amber:2:309.0}~{amber:2:10.0}~{amber:2:14.0}~{amber:5:45.0}~{amber:2:48.0}~{amber:2:23.0}~{amber:7:360.0}~{amber:4:91.0}~{red:2:20.0}~{green:2:53.0}~{red:6:86.0}~{amber:5:60.0}~{amber:4:13.0}~{amber:2:19.0}~{amber:2:179.0}~{amber:2:16.0}~{amber:2:13.0}~{green:4:112.0}~{red:4:1200}~{green:4:64.0}~{green:4:20.0}~{red:2:9.0}~{green:4:28.0}
00B841D5FD,Java-1.8_JUnit,Roman_Numerals,1,alligator,/Users/michaelhilton/Development/Mycyberdojo/katas/00/B841D5FD/alligator/,2014-03-13 21:45:52 -0700,29.0,2,1,1,0,15,2,10,1.000000,1.000000,0,true,~{red:0:13.0}~{green:2:16.0}
00C327D7B6,Java-1.8_JUnit,Leap_Years,1,hippo,/Users/michaelhilton/Development/Mycyberdojo/katas/00/C327D7B6/hippo/,2014-03-13 21:37:11 -0700,543.0,8,4,4,0,29,37,16,0.500000,0.333333,2,true,~{red:0:7.0}~{green:2:30.0}~{red:2:112.0}~{green:2:12.0}+{red:2:20.0}+{green:14:168.0}+{red:4:127.0}+{green:11:67.0}
