KataID|Language|KataName|NumParticipants|Animal|Path|StartDate|secsInKata|TotalLights|RedLights|GreenLights|AmberLights|SLOC|EditedLines|TotalTests|CCNum|BranchCoverage|StatementCoverage|NumCycles|EndsInGreen|LightData|JsonCycles|TDDScore
001B95D8E4|Java-1.8_JUnit|Calc_Stats|6|buffalo|/Users/hughryan/Developer/cyberdojo/katas/00/1B95D8E4/buffalo/|2014-07-15 10:11:04 -0700|1592.0|16|3|6|7|35|104|6|NA|1.000000|1.000000|2|true|+{red:0:20.0}+{red:6:182.0}+{amber:24:241.0}+{amber:2:13.0}+{amber:2:23.0}+{amber:2:76.0}+{green:4:125.0}~{amber:12:170.0}~{amber:1:21.0}~{green:6:26.0}~{amber:3:113.0}~{green:13:78.0}~{green:4:39.0}~{green:12:232.0}+{red:9:152.0}+{green:4:81.0}|[{"lights":[{"color":"red","edits":0,"time":20.0},{"color":"red","edits":6,"time":182.0},{"color":"amber","edits":24,"time":241.0},{"color":"amber","edits":2,"time":13.0},{"color":"amber","edits":2,"time":23.0},{"color":"amber","edits":2,"time":76.0},{"color":"green","edits":4,"time":125.0}],"totalEdits":40,"totalTime":680.0},{"lights":[{"color":"red","edits":9,"time":152.0},{"color":"green","edits":4,"time":81.0}],"totalEdits":13,"totalTime":233.0}]|61.6118612458038
001B95D8E4|Java-1.8_JUnit|Calc_Stats|6|cheetah|/Users/hughryan/Developer/cyberdojo/katas/00/1B95D8E4/cheetah/|2014-07-15 10:11:04 -0700|1598.0|13|1|4|8|25|81|3|NA|1.000000|1.000000|1|true|+{red:0:259.0}+{amber:25:670.0}+{amber:2:29.0}+{amber:1:38.0}+{amber:2:28.0}+{amber:2:31.0}+{green:3:23.0}~{amber:17:248.0}~{green:3:80.0}~{amber:12:100.0}~{green:2:11.0}~{amber:10:61.0}~{green:2:20.0}|[{"lights":[{"color":"red","edits":0,"time":259.0},{"color":"amber","edits":25,"time":670.0},{"color":"amber","edits":2,"time":29.0},{"color":"amber","edits":1,"time":38.0},{"color":"amber","edits":2,"time":28.0},{"color":"amber","edits":2,"time":31.0},{"color":"green","edits":3,"time":23.0}],"totalEdits":35,"totalTime":1078.0}]|68.38265306122449
001B95D8E4|Java-1.8_JUnit|Calc_Stats|6|deer|/Users/hughryan/Developer/cyberdojo/katas/00/1B95D8E4/deer/|2014-07-15 10:11:04 -0700|2743.0|17|4|6|7|33|197|4|NA|0.833333|0.916667|3|true|+{red:0:28.0}+{amber:11:391.0}+{amber:3:75.0}+{amber:1:100.0}+{amber:2:11.0}+{amber:10:221.0}+{amber:5:53.0}+{green:8:88.0}~{green:20:72.0}~{green:14:125.0}+{amber:15:192.0}+{red:4:34.0}+{red:2:40.0}+{green:2:34.0}~{green:34:129.0}+{red:64:1124.0}+{green:2:26.0}|[{"lights":[{"color":"red","edits":0,"time":28.0},{"color":"amber","edits":11,"time":391.0},{"color":"amber","edits":3,"time":75.0},{"color":"amber","edits":1,"time":100.0},{"color":"amber","edits":2,"time":11.0},{"color":"amber","edits":10,"time":221.0},{"color":"amber","edits":5,"time":53.0},{"color":"green","edits":8,"time":88.0}],"totalEdits":40,"totalTime":967.0},{"lights":[{"color":"amber","edits":15,"time":192.0},{"color":"red","edits":4,"time":34.0},{"color":"red","edits":2,"time":40.0},{"color":"green","edits":2,"time":34.0}],"totalEdits":23,"totalTime":300.0},{"lights":[{"color":"red","edits":64,"time":1124.0},{"color":"green","edits":2,"time":26.0}],"totalEdits":66,"totalTime":1150.0}]|53.20575658956699
001B95D8E4|Java-1.8_JUnit|Calc_Stats|6|koala|/Users/hughryan/Developer/cyberdojo/katas/00/1B95D8E4/koala/|2014-07-15 10:11:04 -0700|1500.0|14|3|7|4|19|62|1|NA|1.000000|1.000000|3|true|+{red:0:176.0}+{amber:16:408.0}+{green:2:46.0}+{amber:4:52.0}+{red:4:48.0}+{green:8:94.0}~{green:4:91.0}+{red:4:124.0}+{green:4:72.0}~{green:0:96.0}~{amber:4:129.0}~{green:2:12.0}~{amber:8:130.0}~{green:2:22.0}|[{"lights":[{"color":"red","edits":0,"time":176.0},{"color":"amber","edits":16,"time":408.0},{"color":"green","edits":2,"time":46.0}],"totalEdits":18,"totalTime":630.0},{"lights":[{"color":"amber","edits":4,"time":52.0},{"color":"red","edits":4,"time":48.0},{"color":"green","edits":8,"time":94.0}],"totalEdits":16,"totalTime":194.0},{"lights":[{"color":"red","edits":4,"time":124.0},{"color":"green","edits":4,"time":72.0}],"totalEdits":8,"totalTime":196.0}]|36.17835013064577
001B95D8E4|Java-1.8_JUnit|Calc_Stats|6|lion|/Users/hughryan/Developer/cyberdojo/katas/00/1B95D8E4/lion/|2014-07-15 10:11:04 -0700|1908.0|13|3|5|5|32|104|4|NA|0.750000|0.916667|2|true|+{red:0:25.0}+{amber:20:723.0}+{amber:11:92.0}+{amber:2:16.0}+{green:2:34.0}~{green:31:157.0}~{green:9:188.0}+{amber:14:262.0}+{amber:2:27.0}+{red:6:30.0}+{red:2:65.0}+{green:1:69.0}~{green:4:220.0}|[{"lights":[{"color":"red","edits":0,"time":25.0},{"color":"amber","edits":20,"time":723.0},{"color":"amber","edits":11,"time":92.0},{"color":"amber","edits":2,"time":16.0},{"color":"green","edits":2,"time":34.0}],"totalEdits":35,"totalTime":890.0},{"lights":[{"color":"amber","edits":14,"time":262.0},{"color":"amber","edits":2,"time":27.0},{"color":"red","edits":6,"time":30.0},{"color":"red","edits":2,"time":65.0},{"color":"green","edits":1,"time":69.0}],"totalEdits":25,"totalTime":453.0}]|39.38269064935065
001B95D8E4|Java-1.8_JUnit|Calc_Stats|6|panda|/Users/hughryan/Developer/cyberdojo/katas/00/1B95D8E4/panda/|2014-07-15 10:11:04 -0700|1670.0|19|4|7|8|36|143|3|NA|0.500000|0.642857|3|true|+{red:0:46.0}+{amber:12:407.0}+{amber:5:50.0}+{amber:6:33.0}+{amber:3:50.0}+{amber:2:34.0}+{amber:2:64.0}+{green:0:29.0}~{amber:4:31.0}~{amber:4:36.0}~{green:2:43.0}+{red:24:306.0}+{green:4:35.0}+{red:26:164.0}+{green:2:23.0}~{green:16:115.0}~{green:9:125.0}~{red:11:61.0}~{green:11:18.0}|[{"lights":[{"color":"red","edits":0,"time":46.0},{"color":"amber","edits":12,"time":407.0},{"color":"amber","edits":5,"time":50.0},{"color":"amber","edits":6,"time":33.0},{"color":"amber","edits":3,"time":50.0},{"color":"amber","edits":2,"time":34.0},{"color":"amber","edits":2,"time":64.0},{"color":"green","edits":0,"time":29.0}],"totalEdits":30,"totalTime":713.0},{"lights":[{"color":"red","edits":24,"time":306.0},{"color":"green","edits":4,"time":35.0}],"totalEdits":28,"totalTime":341.0},{"lights":[{"color":"red","edits":26,"time":164.0},{"color":"green","edits":2,"time":23.0}],"totalEdits":28,"totalTime":187.0}]|51.86304717299578
002EEFE5AF|Java-1.8_JUnit|Fizz_Buzz|1|elephant|/Users/hughryan/Developer/cyberdojo/katas/00/2EEFE5AF/elephant/|2013-04-18 11:31:28 -0700|1363.0|15|3|4|8|33|93|5|NA|1.000000|1.000000|2|true|+{red:0:16.0}+{amber:50:671.0}+{amber:4:42.0}+{amber:2:43.0}+{amber:8:89.0}+{green:2:28.0}~{amber:5:67.0}~{amber:4:16.0}~{green:2:18.0}+{amber:7:56.0}+{red:2:24.0}+{red:2:50.0}+{amber:2:161.0}+{green:2:19.0}~{green:1:63.0}|[{"lights":[{"color":"red","edits":0,"time":16.0},{"color":"amber","edits":50,"time":671.0},{"color":"amber","edits":4,"time":42.0},{"color":"amber","edits":2,"time":43.0},{"color":"amber","edits":8,"time":89.0},{"color":"green","edits":2,"time":28.0}],"totalEdits":66,"totalTime":889.0},{"lights":[{"color":"amber","edits":7,"time":56.0},{"color":"red","edits":2,"time":24.0},{"color":"red","edits":2,"time":50.0},{"color":"amber","edits":2,"time":161.0},{"color":"green","edits":2,"time":19.0}],"totalEdits":15,"totalTime":310.0}]|50.372466801553514
0046A8235F|Java-1.8_JUnit|Print_Diamond|1|alligator|/Users/hughryan/Developer/cyberdojo/katas/00/46A8235F/alligator/|2014-04-15 16:03:09 -0700|4947.0|69|16|34|19|42|418|9|NA|1.000000|0.000000|8|true|+{red:0:42.0}+{green:2:27.0}~{green:6:78.0}+{amber:8:147.0}+{red:7:68.0}+{green:2:41.0}~{green:7:18.0}~{green:3:17.0}+{red:10:179.0}+{amber:14:209.0}+{green:1:29.0}+{red:11:139.0}+{green:6:118.0}~{green:11:138.0}~{green:12:151.0}~{amber:4:42.0}~{green:14:25.0}~{green:15:86.0}~{green:4:80.0}~{green:11:48.0}~{amber:5:150.0}~{amber:2:30.0}~{green:1:24.0}~{green:6:96.0}~{green:5:56.0}~{green:5:24.0}~{amber:10:100.0}~{green:2:26.0}~{green:7:47.0}~{red:6:81.0}~{green:6:46.0}~{amber:5:63.0}~{red:10:19.0}~{green:6:39.0}~{green:8:22.0}~{green:2:43.0}~{green:6:91.0}~{green:13:70.0}~{green:16:199.0}+{red:1:51.0}+{amber:11:62.0}+{red:2:20.0}+{green:1:66.0}~{green:4:43.0}~{green:4:53.0}+{amber:8:83.0}+{amber:1:14.0}+{red:2:11.0}+{amber:2:39.0}+{amber:3:99.0}+{amber:5:536.0}+{green:2:20.0}~{green:13:85.0}+{amber:15:156.0}+{red:12:40.0}+{amber:10:35.0}+{red:2:23.0}+{amber:3:47.0}+{red:5:39.0}+{green:2:14.0}~{amber:6:155.0}~{amber:2:28.0}~{amber:8:73.0}~{red:2:21.0}~{red:2:42.0}~{green:2:29.0}+{red:15:85.0}+{red:2:35.0}+{green:2:35.0}|[{"lights":[{"color":"red","edits":0,"time":42.0},{"color":"green","edits":2,"time":27.0}],"totalEdits":2,"totalTime":69.0},{"lights":[{"color":"amber","edits":8,"time":147.0},{"color":"red","edits":7,"time":68.0},{"color":"green","edits":2,"time":41.0}],"totalEdits":17,"totalTime":256.0},{"lights":[{"color":"red","edits":10,"time":179.0},{"color":"amber","edits":14,"time":209.0},{"color":"green","edits":1,"time":29.0}],"totalEdits":25,"totalTime":417.0},{"lights":[{"color":"red","edits":11,"time":139.0},{"color":"green","edits":6,"time":118.0}],"totalEdits":17,"totalTime":257.0},{"lights":[{"color":"red","edits":1,"time":51.0},{"color":"amber","edits":11,"time":62.0},{"color":"red","edits":2,"time":20.0},{"color":"green","edits":1,"time":66.0}],"totalEdits":15,"totalTime":199.0},{"lights":[{"color":"amber","edits":8,"time":83.0},{"color":"amber","edits":1,"time":14.0},{"color":"red","edits":2,"time":11.0},{"color":"amber","edits":2,"time":39.0},{"color":"amber","edits":3,"time":99.0},{"color":"amber","edits":5,"time":536.0},{"color":"green","edits":2,"time":20.0}],"totalEdits":23,"totalTime":802.0},{"lights":[{"color":"amber","edits":15,"time":156.0},{"color":"red","edits":12,"time":40.0},{"color":"amber","edits":10,"time":35.0},{"color":"red","edits":2,"time":23.0},{"color":"amber","edits":3,"time":47.0},{"color":"red","edits":5,"time":39.0},{"color":"green","edits":2,"time":14.0}],"totalEdits":49,"totalTime":354.0},{"lights":[{"color":"red","edits":15,"time":85.0},{"color":"red","edits":2,"time":35.0},{"color":"green","edits":2,"time":35.0}],"totalEdits":19,"totalTime":155.0}]|28.731662569425474
0066CAC96C|Python-unittest|Recently_Used_List|3|hippo|/Users/hughryan/Developer/cyberdojo/katas/00/66CAC96C/hippo/|2014-01-24 16:52:55 -0800|3093.0|34|1|8|25|29|63|1|3|NA|0.8|1|false|+{red:0:5.0}+{amber:4:132.0}+{amber:0:1.0}+{amber:0:3.0}+{amber:0:2.0}+{amber:2:18.0}+{amber:2:48.0}+{amber:0:8.0}+{amber:0:34.0}+{amber:2:23.0}+{amber:0:7.0}+{amber:2:28.0}+{amber:0:6.0}+{amber:2:19.0}+{green:2:28.0}~{amber:2:24.0}~{amber:2:53.0}~{amber:2:25.0}~{amber:2:18.0}~{amber:2:18.0}~{green:2:20.0}~{amber:1:54.0}~{amber:2:80.0}~{amber:2:143.0}~{green:2:22.0}~{amber:4:36.0}~{green:4:28.0}~{green:3:37.0}~{green:0:160.0}~{green:4:298.0}~{green:0:17.0}~{amber:8:779.0}~{amber:5:99.0}~{amber:0:820.0}|[{"lights":[{"color":"red","edits":0,"time":5.0},{"color":"amber","edits":4,"time":132.0},{"color":"amber","edits":0,"time":1.0},{"color":"amber","edits":0,"time":3.0},{"color":"amber","edits":0,"time":2.0},{"color":"amber","edits":2,"time":18.0},{"color":"amber","edits":2,"time":48.0},{"color":"amber","edits":0,"time":8.0},{"color":"amber","edits":0,"time":34.0},{"color":"amber","edits":2,"time":23.0},{"color":"amber","edits":0,"time":7.0},{"color":"amber","edits":2,"time":28.0},{"color":"amber","edits":0,"time":6.0},{"color":"amber","edits":2,"time":19.0},{"color":"green","edits":2,"time":28.0}],"totalEdits":16,"totalTime":362.0}]|61.03726569624101
00701D669C|Java-1.8_JUnit|Prime_Factors|1|snake|/Users/hughryan/Developer/cyberdojo/katas/00/701D669C/snake/|2014-05-10 17:55:37 -0700|74.0|3|2|1|0|10|2|1|NA|1.000000|1.000000|1|true|+{red:0:18.0}+{red:0:39.0}+{green:2:17.0}|[{"lights":[{"color":"red","edits":0,"time":18.0},{"color":"red","edits":0,"time":39.0},{"color":"green","edits":2,"time":17.0}],"totalEdits":2,"totalTime":74.0}]|70.23636363636363
